ID,STATION_NAME,,
66,German Creek Power Station,German Creek Power Station,
67,Gladstone Power Station,GLADSTONE POWER STATION,
68,Glenbawn Hydro Power Station,Glenbawn Hydro Power Station,
69,Glenmaggie Hydro Power Station,Glenmaggie Hydro Power Station,
70,Glennies Creek Power Station,Glennies Creek Power Station,
71,Gordon Power Station,Gordon Power Station,
72,Grange Avenue Landfill Gas Power Station,Grange Avenue Landfill Gas Power Station,
73,Grange Avenue Power Station,Grange Avenue Landfill Gas Power Station,
302,Griffith Solar Farm,Griffith Solar Farm,
290,Grosvenor 1 Waste Coal Mine Gas Power Station,Grosvenor 1 Waste Coal Mine Gas Power Station,
335,Grosvenor 2,Grosvenor 2,
296,Grosvenor 2 Waste Coal Mine Gas Power Station,Grosvenor 2,
381,Gullen Range Solar Farm,Gullen Range Wind Farm,
74,Gullen Range Wind Farm,Gullen Range Wind Farm,
75,Gunning Wind Farm,Gunning Wind Farm,
76,Guthega Power Station,Guthega Power Station,
77,Hallam Road Renewable Energy Facility,HALLAM ROAD RENEWABLE ENERGY FACILITY,
78,Hallett 1 Wind Farm,Hallett 1 Wind Farm,
79,Hallett 2 Wind Farm,Hallett 2 Wind Farm,
80,Hallett Power Station,Hallett Power Station,
389,Hamilton Solar Farm,,
405,Hayman Solar Farm,,
81,Hazelwood Power Station,Hazelwood Power Station,
336,Hepburn Community Wind Farm,Hepburn Community Wind Farm,
82,Hepburn Wind Farm,Hepburn Community Wind Farm,
83,Highbury Landfill Gas Power Station Unit 1,Highbury Landfill Gas Power Station,
337,Hornsdale Power Reserve,Hornsdale Power Reserve,
299,Hornsdale Power Reserve Unit 1,Hornsdale Power Reserve,
278,Hornsdale Wind Farm,Hornsdale Wind Farm,
292,Hornsdale Wind Farm 2,Hornsdale Wind Farm 2,
309,Hornsdale Wind Farm 3,Hornsdale Wind Farm 3,
310,Hughenden Solar Farm,Hughenden Solar Farm,
338,Hume (NSW) Hydro Power Station,Hume (NSW) Hydro Power Station,
339,Hume (Vic) Hydro Power Station,Hume (Vic) Hydro Power Station,
84,Hume Power Station,,
85,Hunter Economic Zone,Hunter Economic Zone Power Station,
86,Hunter Valley Gas Turbine,Hunter Valley Gas Turbine,
87,ISIS Central Sugar Mill Co-generation Plant,ISIS Central Sugar Mill Co-generation Plant,
88,Invicta Sugar Mill,Invicta Sugar Mill,
89,Jacks Gully Landfill Gas Power Station,Jacks Gully Landfill Gas Power Station,
90,"Jeeralang ""A"" Power Station","Jeeralang ""A"" Power Station",
91,"Jeeralang ""B"" Power Station","Jeeralang ""B"" Power Station",
341,Jindabyne Pump At Guthega,Jindabyne Pump At Guthega,
92,Jindabyne Small Hydro Power Station,Jindabyne Small Hydro Power Station,
263,Jindabyne pump at Guthega,Jindabyne Pump At Guthega,
93,John Butters Power Station,John Butters Power Station,
94,Jounama Small Hydro Power Station,Jounama Small Hydro Power Station,
407,Karadoc Solar Farm,,
95,Kareeya Power Station,KAREEYA POWER STATION,
343,Keepit Hydro Power Station,Keepit Hydro Power Station,
96,Keepit Power Station,Keepit Hydro Power Station,
300,Kiata Wind Farm,Kiata Wind Farm,
303,Kidston Solar Project,Kidston Solar Project,
283,Kincumber Landfill Site,Kincumber Landfill Site,
97,Kogan Creek Power Station,Kogan Creek Power Station,
98,Ladbroke Grove Power Station,Ladbroke Grove Power Station,
99,Lake Bonney Stage 2 Windfarm,Lake Bonney Stage 2 Windfarm,
100,Lake Bonney Stage 3 Wind Farm,Lake Bonney Stage 3 Wind Farm,
101,Lake Bonney Wind Farm,Lake Bonney Wind Farm Stage 1,
344,Lake Bonney Wind Farm Stage 1,Lake Bonney Wind Farm Stage 1,
102,Lake Echo Power Station,Lake Echo Power Station,
103,Laverton North Power Station,Laverton North Power Station,
104,Lemonthyme / Wilmot  Power Station,Lemonthyme / Wilmot Power Station,
345,Lemonthyme / Wilmot Power Station,Lemonthyme / Wilmot Power Station,
105,Liddell Power Station,Liddell Power Station,
420,Lilyvale Solar Farm,,
422,Lincoln Gap Wind Farm,,
106,Longford Plant,LONGFORD PLANT,
380,Longreach Solar Farm,,
107,Lonsdale Power Station,Lonsdale Power Station,
108,Loy Yang A Power Station,LOY YANG A POWER STATION,
109,Loy Yang B Power Station,LOY YANG B POWER STATION,
110,Lucas Heights 2 LFG Power Station,Lucas Heights 2 Power Station,Lucas Heights II Power Plant
346,Lucas Heights 2 Power Station,Lucas Heights 2 Power Station,Lucas Heights II Power Plant
111,Macarthur Wind Farm,Macarthur Wind Farm,
112,Mackay Gas Turbine,MACKAY GAS TURBINE,
113,Mackintosh Power Station,Mackintosh Power Station,
385,Manildra solar Farm,,
347,Maroona Wind Farm,Maroona Wind Farm,
304,Maroona Wind Farm Units 1-2,Maroona Wind Farm,
273,Meadowbank Diesel Generation,Meadowbank Power Station,
114,Meadowbank Power Station,Meadowbank Power Station,
294,Melbourne Regional Landfill,Melbourne Regional Landfill,
265,Middle Ridge Gas Turbine,,
115,Midlands Power Station,Midlands Power Station,
116,Millmerran Power Plant,Millmerran Power Plant,
117,Mintaro Gas Turbine Station,Mintaro Gas Turbine Station,
118,Moranbah Generation Project,Moranbah Generation Project,
119,Moranbah North Power Station,Moranbah North Waste Coal Mine Gas Power Station,
348,Moranbah North Waste Coal Mine Gas Power Station,Moranbah North Waste Coal Mine Gas Power Station,
269,Moree Solar Farm,MOREE SOLAR FARM,
120,Mornington Waste Disposal Facility,Mornington Waste Disposal Facility,
349,Mortlake Power Station,Mortlake Power Station,
121,Mortlake Power Station Units,Mortlake Power Station,
122,Mortons Lane Wind Farm,Mortlake Power Station,
396,Mount Emerald Wind Farm,,
392,Mt Gellibrand Wind Farm,,
291,Mt Mercer Wind Farm,Mt Mercer Wind Farm,
123,Mt Mercer Windf Farm,Mt Mercer Wind Farm,
124,Mt Millar Wind Farm,Mt Millar Wind Farm,
125,Mt Piper Power Station,MT PIPER POWER STATION,
126,Mt Stuart Power Station,Mt Stuart Power Station,
280,Mugga Lane Solar Park,Mugga Lane Solar Park,
249,Munmorah Power Station,MUNMORAH POWER STATION,
423,Murra Warra Wind Farm,,
127,Murray 1 Power Station,MURRAY1,
128,Murray 2 Power Station,MURRAY2,
350,Murray Power Station,Murray Power Station,
129,Musselroe Wind Farm,Musselroe Wind Farm,
252,NSW Reserve Trader,RESERVE TRADER NSW1,
386,Narromine Solar Farm,,
130,Newport Power Station,NEWPORT POWER STATION,
131,Nine Network Willoughby Plant,Nine Network Willoughby Plant,
352,None,,
132,North Brown Hill Wind Farm,North Brown Hill Wind Farm,
266,Northern Gas Turbine Station,NORTHERN GAS TURBINE,
133,Northern Power Station,NORTHERN POWER STATION,
240,Nyngan Solar Plant,Nyngan Solar Plant,
424,Oakey 1 Solar Farm,OAKEY POWER STATION,
134,Oakey Power Station,OAKEY POWER STATION,
135,Oaklands Hill Wind Farm,Oaklands Hill Wind Farm,
136,Oaky Creek  Power Station,Oaky Creek Power Station,
353,Oaky Creek 2,Oaky Creek 2,
282,Oaky Creek 2 Waste Coal Mine Gas Power Station Units 1-15,Oaky Creek 2,
354,Oaky Creek Power Station,Oaky Creek Power Station,
137,Osborne Power Station,OSBORNE POWER STATION,
138,Paloona Power Station,Paloona Power Station,
305,Parkes Solar Farm,Parkes Solar Farm,
139,Pedler Creek Landfill Gas Power Station Units 1-3,Pedler Creek Landfill Gas Power Station Units 1-3,
140,Pelican Point Power Station,Pelican Point Power Station,
141,Pindari Hydro Power Station,Pindari Hydro Power Station,
142,Pioneer Sugar Mill,Pioneer Sugar Mill,
143,Playford B Power Station,Playford B Power Station,
144,Poatina Power Station,Poatina Power Station,
257,Point Henry,POINT HENRY SMELTER,
275,Port Latta Diesel Generation,Port Latta Diesel Generator,
145,Port Lincoln Gas Turbine,Port Lincoln Gas Turbine,
146,Port Stanvac Power Station 1,Pt Stanvac Power Station,
147,Port Stanvac Power Station 2,Pt Stanvac Power Station,
355,Portland,,
148,Portland Wind Farm,Portland Wind Farm,
258,Portland aluminium smelter,PORTLAND,
356,Pt Stanvac Power Station,Pt Stanvac Power Station,
253,QLD Reserve Trader,RESERVE TRADER QLD1,
149,Quarantine Power Station,Quarantine Power Station,
276,Que River Diesel Generator,Que River Diesel,
150,Racecourse Mill,RACECOURSE MILL,
357,Racecourse Mill Power Station,Racecourse Mill Power Station,
151,Redbank Power Station,Redbank Power Station,
152,Reece Power Station,Reece Power Station,
153,Remount Power Station,Remount Power Station,
154,Repulse Power Station,Repulse Power Station,
155,Rochedale Renewable Energy Facility,Rochedale Renewable Energy Facility,
156,Rocky Point Cogeneration Plant,Rocky Point Cogeneration Plant,
157,Roghan Road LFG Power Plant,Roghan Road LFG Power Plant,
158,Roma Gas Turbine Station,Roma Gas Turbine Station,
395,"Ross River Solar Farm, Units 1-64",,
159,Rowallan Power Station,Rowallan Power Station,
160,Royalla Solar Farm,Royalla Solar Farm,
161,Rubicon Mountain Streams Station,Rubicon Mountain Streams Station,
247,SA Reserve Trader,RESERVE TRADER SA1,
289,SA Water Bolivar Waste Water Treatment (WWT) Plant,SA Water Bolivar Waste Water Treatment (WWT) Plant,
390,Salt Creek Wind Farm,,
306,Sapphire Wind Farm,Sapphire Wind Farm,
358,Scsf,SCSF,
162,Shepparton Wastewater Treatment Facility,Shepparton Wastewater Treatment Facility,
359,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),
360,Silverton Wind Farm,,
163,Smithfield Energy Facility,SMITHFIELD ENERGY FACILITY,
164,Snowtown South Wind Farm,Snowtown South Wind Farm,
165,Snowtown Wind Farm Stage 2 North,Snowtown Wind Farm Stage 2 North,
166,Snowtown Wind Farm Units 1 And 47,Snowtown Wind Farm Units 1 And 47,
288,Snowtown Wind Farm Units 1 to 47,Snowtown Wind Farm Units 1 And 47,
250,Snowy (legacy),SNOWY,
167,Snuggery Power Station,SNUGGERY POWER STATION,
168,Somerton Power Station,Somerton Power Station,
169,South East Water - Hallam Hydro Plant,South East Water - Halllam Hydro Plant,
361,South East Water - Halllam Hydro Plant,South East Water - Halllam Hydro Plant,
387,South Keswick Solar Farm,,
170,Southbank Institute Of Technology Unit 1 Plant,Southbank Institute Of Technology Unit 1 Plant,
171,Springvale Landfill Gas Power Station,Springvale Landfill Gas Power Station,
172,St George Leagues Club Plant,St George Leagues Plant,
173,Stanwell Power Station,STANWELL POWER STATION,
295,Stapylton Renewable Energy Facility,Stapylton Renewable Energy Facility,
174,Starfish Hill Wind Farm,Starfish Hill Wind Farm,
383,Sun Metals Solar Farm,,
175,Suncoast Gold Macadamias,Suncoast Gold Macadamias,
414,Susan River Solar Farm,,
248,Swanbank A Power Station,Swanbank B Power Station & Swanbank E Gas Turbine,
246,Swanbank B Power Station,Swanbank B Power Station & Swanbank E Gas Turbine,
362,Swanbank B Power Station & Swanbank E Gas Turbine,Swanbank B Power Station & Swanbank E Gas Turbine,
259,Swanbank C,Swanbank B Power Station & Swanbank E Gas Turbine,
260,Swanbank D,Swanbank B Power Station & Swanbank E Gas Turbine,
