registered_business_name
AES AUSTRALIA HOLDING BV & AES MT STUART STUART
AES MT STUART
AES TRANSPOWER HOLDING P/L
AGL (CAWSE) POWER P/L
AGL (CAWSE) POWER PTY LIMITED
AGL (CAWSE) POWER PTY LTD
AGL ELECTRICITY (VIC) P/L
AGL ENERGY P/L
AGL ENERGY SALES & MARKETING LIMITED
AGL ENERGY SALES & MARKETING LTD
AGL ENERGY SERVICES (QLD) P/L
AGL ENERGY SERVICES (QUEENSLAND) PTY LTD
AGL ENERGY SERVICES P/L
AGL ENERGY SERVICES PTY LIMITED
AGL ENERGY SERVICES PTY LTD
AGL LOY YANG PTY LTD
AGL MACQUARIE PTY LIMITED
AGL POWER GENERATION (MID WEST) P/L
AGL POWER GENERATION (SA) P/L
AGL POWER GENERATION (VICTORIA) P/L
AGL POWER GENERATION PTY LIMITED
AGL SA GENERATION PTY LIMITED
AGL SA GENERATION PTY LTD
AGL SOUTH AUSTRALIA
AGL SOUTH AUSTRALIA PTY LIMITED
ALCOA OF AUST LTD
ALCOA OF AUSTRALIA LIMITED
ALINTA ACP PTY LTD
ALINTA COGENERATION (PINJARRA) PTY LTD
ALINTA COGENERATION (WAGERUP) PTY LTD
ALINTA DEBO P/L
ALINTA DEBO PTY LTD
ALINTA DEWAP PTY LTD
ALINTA ENERGY (TAMAR VALLEY) PTY LTD
ALINTA ENERGY P/L
ALINTA ENERGY TRANSMISSION ROY HILL PTY LTD
ALINTA POWER SERVICES PTY LTD
APPIN POWER PTY LTD
ARROW GENERATION PTY LTD
ATCO POWER AUSTRALIA (KARRATHA) PTY LTD
ATTORNEY-GENERAL'S DEPARTMENT
AURORA ENERGY (TAMAR VALLEY) PTY LTD
AUSTRALIAN PIPELINE LIMITED
BEAK INDUSTRIES P/L
BHP BILLITON IRON ORE PTY LTD
BLUEWATERS POWER 1 PTY LTD
BRAEMER POWER PROJECT PTY LTD
BRIMBANK CITY COUNCIL
C S ENERGY LTD
CALLIDE POWER MANAGEMENT P/L
CALLIDE POWER MANAGEMENT PTY LTD
CALLIDE POWER MANAGMENT PTY LTD
CAPE BYRON MANAGEMENT PTY LTD
CENTRAL ENERGY POWER
CENTRAL ENERGY POWER P/L
CENTRAL ENERGY POWER PTY LTD
CENTRAL QUEENSLAND POWER
CENTRAL QUEENSLAND POWER P/L
CKI UTILITIES DEVELOPMENT LTD & HEI UTILITIES DEVELOPMENT LTD & 3 OTHS
CLARKE ENERGY (AUSTRALIA) PTY LTD
COLLINSVILLE OPERATIONS P/L
COLLINSVILLE OPERATIONS PTY LTD
COMMAND ENERGY P/L
COMO GLASSHOUSE NO2 PTY LTD
COMO GLASSHOUSE PTY LTD
CONTRACT POWER AUSTRALIA PTY LTD
COSMO POWER P/L
COSMO POWER PTY LTD
CS ENERGY LTD
CS ENERGY MICA CREEK P/L
CS ENERGY MICA CREEK PTY LTD
CS ENERGY P/L
DELTA ELECTRICITY
DEPARTMENT OF INFRASTRUCTURE AND REGIONAL DEVELOPMENT
DEPARTMENT OF INFRASTRUCTURE AND TRANSPORT
DEPARTMENT OF REGIONAL AUSTRALIA REGIONAL DEVELOPMENT AND LOCAL GOVERNMENT
DEPARTMENT OF STATE DEVELOPMENT
DEPARTMENT OF TRANSPORT AND REGIONAL SERVICES
DIAMANTINA POWER STATION PTY LTD
DIAMOND ENERGY PTY LTD
DUKE ENERGY BAIRNSDALE OPERATIONS P/L
DUKE ENERGY WA POWER
DUKE ENERGY WA POWER P/L
DUKE ENERGY WA POWER PTY LTD
ECOGEN ENERGY P/L
ECOGEN ENERGY PTY LTD
EDISON MISSION ENERGY AUST LTD
EDISON MISSION OPS & MAINT LOY YANG P/L
EDL (OCI) PTY LIMITED
EDL (TT) PTY LIMITED
EDL CSM (NSW) PTY LTD
EDL CSM (QLD) PTY LTD
EDL GROUP OPERATIONS P/L
EDL GROUP OPERATIONS PTY LTD
EDL LFG (ACT) P/L
EDL LFG (NSW) PTY LTD
EDL LFG (QLD) P/L
EDL LFG (SA) P/L
EDL LFG (SA) PTY LTD
EDL LFG (VIC) P/L
EDL LFG (VIC) PTY LTD
EDL NGD (NT) P/L
EDL NGD (QLD) P/L
EDL NGD (QLD) PTY LTD
EDL NGD (WA) PTY LTD
EDL OPERATIONS (ACT) P/L
EDL OPERATIONS (BERWICK) P/L
EDL OPERATIONS (BROADMEADOWS) P/L
EDL OPERATIONS (BROOKLYN) P/L
EDL OPERATIONS (BROWNS PLAINS) PTY LTD
EDL OPERATIONS (CLAYTON) P/L
EDL OPERATIONS (CORIO) P/L
EDL OPERATIONS (EASTERN CREEK) PTY LTD
EDL OPERATIONS (HIGHBURY) P/L
EDL OPERATIONS (HIGHBURY) PTY LTD
EDL OPERATIONS (PEDLER CREEK) P/L
EDL OPERATIONS (PEDLER CREEK) PTY LTD
EDL OPERATIONS (TEA TREE GULLY) P/L
EDL OPERATIONS (TEA TREE GULLY) PTY LTD
EDL OPERATIONS (WINGFIELD) P/L
EDL OPERATIONS (WINGFIELD) PTY LTD
EDL OPERATIONS PTY LTD
EDL PROJECTS (AUSTRALIA) PTY LTD
EIT NEERABUP POWER PTY LTD & ERM NEERABUP PTY LTD
ELECTRICITY GENERATION AND RETAIL CORPORATION
ELECTRICITY NETWORKS CORPORATION
ELECTRICITY NETWORKS CORPORATION T/A WESTERN POWER
ENERGEX LTD
ENERGY BRIX AUST CORP P/L
ENERGY BRIX AUSTRALIA CORPORATION PTY LTD
ENERGY GENERATION P/L
ENERGY GENERATION PTY LTD
ENERGY IMPACT
ENERGY IMPACT P/L
ENERGY IMPACT PTY LTD
ENERGY QUEENSLAND LIMITED
ENERGYAUSTRALIA HALLETT PTY LTD
ENERGYAUSTRALIA NSW PTY LTD
ENERGYAUSTRALIA TALLAWARRA PTY LTD
ENERGYAUSTRALIA YALLOURN PTY LTD
ERARING ENERGY
ERGON ENERGY CORP LTD
ERGON ENERGY CORPORATION LIMITED
ERGON ENERGY CORPORATION LTD
ERGON ENERGY UTILITY SERVICES P/L
ESPERANCE POWER STATION PTY LTD
ETSA UTILITIES
EXMOUTH POWER STATION PTY LTD
FLINDERS OPERATING SERVICES PTY LTD
FPC 30 LIMITED AS TRUSTEE FOR FPC GREEN FUND TRUST
GREENSTONE POWER GENERATION
GRIFFIN POWER PTY LTD
HYDRO-ELECTRIC CORP
HYDRO-ELECTRIC CORPORATION
INFRATIL ENERGY AUSTRALIA PTY LTD
IPM OPERATION & MAINTENANCE KWINANA PTY LTD
IPM OPERATION & MAINTENANCE LOY YANG P/L
IPM OPERATION & MAINTENANCE LOY YANG PTY LTD
KALGOORLIE POWER SYSTEMS
KARUMBA POWER P/L
KARUMBA POWER PTY LTD
KATHERINE PETROLEUM SERVICE
LANDFILL GAS & POWER P/L
LANDFILL GAS & POWER PTY LTD
LANDFILL GAS & POWER PTY. LTD.
LMS ENERGY PTY LTD
LMS GENERATION
LMS GENERATION P/L
