STATIONNAME,DISPLAYNAME
Starfish Hill Wind Farm,Starfish Hill
Challicum Hills Wind Farm,Challicum Hills
CANUNDA WIND FARM ,Canunda
Laverton North Power Station,Laverton North
Rowallan Power Station,Rowallan
Invicta Sugar Mill,Invicta Sugar Mill
Pioneer Sugar Mill,Pioneer Sugar Mill
Braemar Power Station,Braemar
Bell Bay Three Power Station,Bell Bay Three
Oaky Creek Power Station,Oaky Creek
Tatura Biomass Generator,Tatura Biomass
German Creek Power Station,German Creek
Grange Avenue Landfill Gas Power Station,Grange Avenue LFG
Remount Power Station,Remount
Daandine Power Station,Daandine
Awaba Power Station,Awaba
ISIS Central Sugar Mill Co-generation Plant,Isis Central Sugar Mill
Moranbah Generation Project,Moranbah Generation Project
KRC Cogeneration Plant Power Station,KRC Co-gen
Kogan Creek Power Station,Kogan Creek
Lake Bonney Stage 2 Windfarm,Lake Bonney 2
Jindabyne Small Hydro Power Station,Jindabyne (Mini Hydro)
Condong Power Station,Condong
Hallett 1 Wind Farm,Hallett 1
Snowtown Wind Farm Units 1 And 47,Snowtown
Portland Wind Farm,Portland
Broadwater Power Station,Broadwater
Woodlawn Bioreactor Energy Generation Station,Woodlawn Bioreactor
Eraring Power Station,Eraring
Hunter Economic Zone Power Station,Hunter Economic Zone
Tallawarra Power Station,Tallawarra
Uranquinty Power Station,Uranquinty
Moranbah North Waste Coal Mine Gas Power Station,Moranbah North WCMG
South East Water - Halllam Hydro Plant,South East Water - Halllam
Veolia Ti Tree Bio Reactor,Veolia Ti Tree Bio Reactor
Shepparton Wastewater Treatment Facility,Shepparton Wastewater Treatment
Ballarat Base Hospital Plant,Ballarat Hospital
"Amcor Glass, Gawler Plant",Amcor Glass
WAUBRA WIND FARM,Waubra
BRAEMAR 2 POWER STATION,Braemar 2
Clements Gap Wind Farm,Clements Gap
Hallett 2 Wind Farm,Hallett 2
Colongra Power Station,Colongra
Cullerin Range Wind Farm,Cullerin Range
Condamine Power Station A,Condamine  A
Tamar Valley Combined Cycle Power Station,Tamar Valley
Capital Wind Farm,Capital
Southbank Institute Of Technology Unit 1 Plant,Southbank Institute Of Technology
Darling Downs Power Station,Darling Downs
Codrington Wind Farm,Codrington
Burrendong Hydro Power Station,Burrendong
Copeton Hydro Power Station,Copeton
Glenbawn Hydro Power Station,Glenbawn
Yarrawonga Hydro Power Station,Yarrawonga
Eastern Creek 2 Gas Utilisation Facility,Eastern Creek LFG
Wilga Park Power Station,Wilga Park
Appin Power Plant,Appin
Berwick Power Plant,Berwick
Broadmeadows Landfill Gas Power Station,Broadmeadows LFG
Clayton Landfill Gas Power Station,Clayton LFG
Lucas Heights II Power Plant,Lucas Heights 2
Tower Power Plant,Tower
Glennies Creek Power Station,Glennies Creek
Wyangala A Power Station,Wyangala A
Wyangala B Power Station,Wyangala B
Jounama Small Hydro Power Station,Jounama (Mini Hydro)
Western Suburbs League Club (Campbelltown) Plant,Western Suburbs League Club
Symex Power Plant,Symex
West Illawarra Leagues Club Plant,West Illawarra Leagues Club
Yarwun Power Station,Yarwun
Lake Bonney Stage 3 Wind Farm,Lake Bonney 3
North Brown Hill Wind Farm,North Brown Hill
Bankstown Sports Club Plant Units,Bankstown Sports Club
Waterloo Wind Farm,Waterloo
Nine Network Willoughby Plant,Willoughby
St George Leagues Plant,St George Leagues
Tataria Bordertown Plant,Tataria Bordertown
Pt Stanvac Power Station,Pt Stanvac
Valley Power Peaking Facility,Valley  Peaking
Gunning Wind Farm,Gunning
Woodlawn Wind Farm,Woodlawn
Hepburn Community Wind Farm,Hepburn wind
The Bluff Wind Farm,The Bluff
Mortlake Power Station,Mortlake
Oaklands Hill Wind Farm,Oaklands Hill
Victoria Mill,Victoria Mill
HALLAM ROAD RENEWABLE ENERGY FACILITY,Hallam Road RE Facility
Blue Lake Milling Power Plant,Blue Lake Milling
Browns Plains Landfill Gas PS,Browns Plains LFG
Macarthur Wind Farm,Macarthur
Racecourse Mill Power Station,Racecourse Mill
Mortons Lane Wind Farm,Mortons Lane
Musselroe Wind Farm,Musselroe
The Drop Power Station,The Drop
Highbury Landfill Gas Power Station,Highbury LFG
Pedler Creek Landfill Gas Power Station Units 1-3,Pedler Creek LFG
Wingfield 1 Landfill Gas Power Station,Wingfield 1 LFG
Tea Tree Gully Landfill Gas Power Station,Tea Tree Gully LFG
Wingfield 2 Landfill Gas Power Station,Wingfield 2 LFG
Wollert Renewable Energy Facility,Wollert RE Facility
Traralgon Network Support Station,Traralgon Network Support
Corio Landfill Gas Power Station,Corio LFG
Capital East Solar Farm,Capital East
Snowtown South Wind Farm,Snowtown South
Snowtown Wind Farm Stage 2 North,Snowtown North
Springvale Landfill Gas Power Station,Springvale LFG
Mt Mercer Wind Farm,Mt Mercer
Gullen Range Wind Farm,Gullen Range
Glenmaggie Hydro Power Station,Glenmaggie
Eildon Power Station,Eildon
William Hovell Power Station,William Hovell
Midlands Power Station,Midlands
Royalla Solar Farm,Royalla
Woy Woy Landfill Site,Woy Woy (LFG)
Wilga Park B,Wilga Park B
Kincumber Landfill Site,Kincumber LFG
Boco Rock Wind Farm,Boco Rock
Taralga Wind Farm,Taralga
Nyngan Solar Plant,Nyngan
SA Water Bolivar Waste Water Treatment (WWT) Plant,Bolivar Waste Water Treatment
Bald Hills Wind Farm,Bald Hills
Chepstowe Wind Farm,Chepstowe
Tahmoor Waste Coal Mine Gas Power Station,Tahmoor WCMG
Broken Hill Solar Plant,Broken Hill
MOREE SOLAR FARM,Moree
Coonoer Bridge Wind Farm,Coonoer Bridge
Oaky Creek 2,Oaky Creek 2
GEORGE TOWN DIESEL,George Town
Port Latta Diesel Generator,Port Latta
Que River Diesel,Que River
Bell Bay Power Station,Bell Bay
Hornsdale Wind Farm,Hornsdale
Ararat Wind Farm,Ararat
Mugga Lane Solar Park,Mugga Lane
AGL KEMPS CREEK,AGL Kemps Creek
Barcaldine Solar Farm,Barcaldine
Grosvenor 1 Waste Coal Mine Gas Power Station,Grosvenor 1 WCMG
Hornsdale Wind Farm 2,Hornsdale  2
SCSF,SCSF
White Rock Wind Farm,White Rock
Stapylton Renewable Energy Facility,Stapylton RE Facility
Melbourne Regional Landfill,Melbourne Regional LFG
Hornsdale Wind Farm 3,Hornsdale  3
Grosvenor 2,Grosvenor 2
Temporary Generation North,Temporary Generation North
Temporary Generation South,Temporary Generation South
Kiata Wind Farm,Kiata
Hornsdale Power Reserve,Hornsdale  Reserve
Yaloak South Wind Farm,Yaloak South
Kidston Solar Project,Kidston
Sapphire Wind Farm,Sapphire
Griffith Solar Farm,Griffith
Parkes Solar Farm,Parkes
Maroona Wind Farm,Maroona
Hughenden Solar Farm,Hughenden
Baking Board Solar Farm,Baking Board
Ballarat Battery Energy Storage System,Ballarat Battery
Bannerton Solar Park,Bannerton
Bodangora Wind Farm,Bodangora
Bungala One Solar Farm,Bungala One
Bungala Two Solar Farm,Bungala Two
Childers Solar Farm,Childers
Clare Solar Farm,Clare
Coleambally Solar Farm,Coleambally
Collinsville Solar PV Power Station,Collinsville
Crookwell 2 Wind Farm,Crookwell 2
Crowlands Wind Farm,Crowlands
Dalrymple North Battery Energy Storage System,Dalrymple North Battery
Daydream Solar Farm,Daydream
Emerald Solar Park,Emerald
Gannawarra Energy Storage System,Gannawarra Battery
Gannawarra Solar Farm,Gannawarra
Hamilton Solar Farm,Hamilton
Hayman Solar Farm,Hayman
Karadoc Solar Farm,Karadoc
Lincoln Gap Wind Farm,Lincoln Gap
Longreach Solar Farm,Longreach
Manildra solar Farm,Manildra
Mortons Lane Wind Farm,Mortons Lane
Mount Emerald Wind Farm,Mount Emerald
Mt Gellibrand Wind Farm,Mt Gellibrand
Murra Warra Wind Farm,Murra Warra
Narromine Solar Farm,Narromine
"Ross River Solar Farm, Units 1-64",Ross River
Salt Creek Wind Farm,Salt Creek
Silverton Wind Farm,Silverton
South Keswick Solar Farm,South Keswick
Sun Metals Solar Farm,Sun Metals
Susan River Solar Farm,Susan River
"Tailem Bend Solar Project 1, Units 1-54",Tailem Bend
Timboon West Wind Farm,Timboon West
Valdora Solar Farm,Valdora
"Wemen Solar Farm, Units 1-39",Wemen
White Rock Solar Farm,White Rock
Whitsunday Solar Farm,Whitsunday
Willogoleche Wind Farm,Willogoleche
Yawong Wind Farm,Yawong
